State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1491101.0,1272020.0,1366369.0,1434433.0,1420484.0,1367712.0,1407502.0,1377386.0,1471272.0,1561652.0,1309523.0,1535697.0,17015151.0
Alaska,74506.0,65105.0,67950.0,70971.0,70190.0,78482.0,78667.0,77339.0,78531.0,82256.0,68714.0,79852.0,892563.0
Arizona,1043142.0,915202.0,1001301.0,1061176.0,1049472.0,995439.0,1005736.0,982771.0,1023476.0,1116676.0,949561.0,1097102.0,12241054.0
Arkansas,2055.0,1055.0,3847.0,4933.0,4880.0,2727.0,900.0,874.0,993.0,668.0,380.0,815.0,24127.0
Colorado,2803918.0,2503124.0,2788443.0,2768757.0,2805657.0,2732262.0,2708880.0,2827076.0,2828490.0,3010058.0,2946822.0,3376464.0,34099951.0
Illinois,2405938.0,1982888.0,2336903.0,2464076.0,2459842.0,2885561.0,3035920.0,3054591.0,2998447.0,2970491.0,2328577.0,2437268.0,31360502.0
Indiana,3028605.0,2634750.0,2772873.0,2839155.0,2829040.0,2798699.0,2906537.0,2897613.0,2987654.0,3176467.0,2733295.0,3091698.0,34696386.0
Kansas,18145.0,15249.0,16583.0,17542.0,17347.0,16588.0,17074.0,16622.0,14840.0,15620.0,13360.0,14159.0,193129.0
Kentucky Total,10075735.0,8883181.0,9483708.0,9832018.0,9771409.0,9419402.0,9524293.0,9455277.0,9666229.0,10157318.0,8621100.0,9858547.0,114748217.0
Eastern,8146003.0,7228322.0,7687392.0,7990227.0,7930819.0,7616311.0,7688051.0,7605953.0,7847838.0,8273864.0,6997786.0,8087305.0,93099871.0
Western,1929732.0,1654859.0,1796316.0,1841791.0,1840590.0,1803091.0,1836242.0,1849324.0,1818391.0,1883454.0,1623314.0,1771242.0,21648346.0
Louisiana,431370.0,363023.0,377457.0,149819.0,412476.0,382522.0,340222.0,425036.0,293102.0,344289.0,327514.0,440233.0,4287063.0
Maryland,374935.0,341745.0,365888.0,382548.0,379217.0,373446.0,384528.0,379824.0,403971.0,434122.0,367820.0,428084.0,4616128.0
Mississippi,324480.0,277078.0,290011.0,273607.0,335920.0,320142.0,334592.0,314056.0,232295.0,334786.0,296978.0,312053.0,3645998.0
Missouri,15227.0,10625.0,21788.0,26312.0,26022.0,30720.0,37115.0,36222.0,38161.0,47846.0,43340.0,38695.0,372073.0
Montana,3123118.0,2824924.0,3161668.0,3113815.0,3165946.0,3059156.0,2998697.0,3154314.0,3056626.0,3230136.0,2979100.0,3125723.0,36993223.0
New Mexico,2229662.0,1985497.0,2184985.0,2288944.0,2274064.0,2191561.0,2234514.0,2209559.0,2315609.0,2468138.0,2101780.0,2395105.0,26879418.0
North Dakota,2506227.0,2182631.0,2410643.0,2561989.0,2533730.0,2430939.0,2496254.0,2435014.0,2529854.0,2734240.0,2314479.0,2681972.0,29817972.0
Ohio,1687478.0,1501390.0,1718832.0,1803559.0,1798190.0,1745966.0,1784397.0,1780320.0,1761418.0,1829070.0,1566441.0,1809487.0,20786548.0
Oklahoma,121540.0,105947.0,108110.0,112102.0,110865.0,113957.0,123717.0,120909.0,134105.0,137909.0,112501.0,133904.0,1435566.0
Pennsylvania Total,6032440.0,5444818.0,5696307.0,5888081.0,5844824.0,5750977.0,5974585.0,5898358.0,5838865.0,6220715.0,5326262.0,6053113.0,69969345.0
Anthracite,143889.0,130178.0,129824.0,133073.0,131771.0,123315.0,122273.0,120034.0,126776.0,139160.0,118938.0,123991.0,1543222.0
Bituminous,5888551.0,5314640.0,5566483.0,5755008.0,5713053.0,5627662.0,5852312.0,5778324.0,5712089.0,6081555.0,5207324.0,5929122.0,68426123.0
Tennessee,247422.0,216673.0,220614.0,228589.0,226068.0,225215.0,234536.0,230361.0,225139.0,240038.0,203636.0,232638.0,2730929.0
Texas,3747121.0,3242912.0,3669666.0,3604762.0,3673142.0,3518153.0,3423833.0,3612832.0,3609111.0,3795833.0,3762274.0,4349063.0,44008702.0
Utah,2168473.0,1952693.0,2108250.0,2189539.0,2177344.0,2114267.0,2139577.0,2131516.0,2200776.0,2340230.0,1999712.0,2259420.0,25781797.0
Virginia,2364208.0,2074577.0,2362299.0,2473948.0,2466882.0,2391621.0,2422367.0,2424758.0,2571362.0,2687320.0,2286013.0,2621033.0,29146388.0
Washington,417443.0,367995.0,403586.0,428024.0,423304.0,421504.0,450461.0,438559.0,494154.0,514548.0,421783.0,525506.0,5306867.0
West Virginia Total,12714654.0,11356284.0,12014258.0,12317348.0,12275060.0,11859656.0,12003008.0,11988618.0,12601092.0,13472236.0,11598794.0,12644977.0,146845985.0
Northern,2684261.0,2448484.0,2732914.0,2858449.0,2845612.0,2784369.0,2827388.0,2827189.0,3011702.0,3154146.0,2669617.0,2958255.0,33802386.0
Southern,10030393.0,8907800.0,9281344.0,9458899.0,9429448.0,9075287.0,9175620.0,9161429.0,9589390.0,10318090.0,8929177.0,9686722.0,113043599.0
Wyoming,31977242.0,28584607.0,30817531.0,29868827.0,30892773.0,30095814.0,31377079.0,32165342.0,31933829.0,33364061.0,31491177.0,32735773.0,375304055.0
Appalachian Total,33058241.0,29435829.0,31431959.0,32518733.0,32341544.0,31330904.0,31898974.0,31685578.0,32720957.0,34719017.0,29656275.0,33412334.0,384210345.0
Interior Total,12024213.0,10288386.0,11393554.0,11334099.0,11710124.0,11872160.0,12056152.0,12328079.0,12127099.0,12707363.0,11241533.0,12589130.0,141671892.0
Western Total,46343731.0,41381778.0,44944357.0,44352042.0,45392480.0,44119424.0,45489865.0,46421490.0,46461345.0,48860343.0,45273128.0,48276917.0,547316900.0
East of Miss River,40746996.0,35985404.0,38628062.0,39937362.0,39806936.0,39138397.0,40012265.0,39801162.0,40757744.0,43084215.0,36638439.0,41024595.0,475561577.0
West of Miss River,50679189.0,45120589.0,49141808.0,48267512.0,49637212.0,48184091.0,49432726.0,50633985.0,50551657.0,53202508.0,49532497.0,53253786.0,597637560.0
US Total,91426185.0,81105993.0,87769870.0,88204874.0,89444148.0,87322488.0,89444991.0,90435147.0,91309401.0,96286723.0,86170936.0,94278381.0,1073199137.0
