State,Jan,Feb,Mar,Q1
Alabama,859909,781316,997057,2638282
Alaska,82411,75484,90074,247969
Colorado,1211262,1068436,1174496,3454194
Illinois,3274639,2982250,3641631,9898520
Indiana,2073071,1858649,2235637,6167357
Kentucky Total,2584020,2314171,2637056,7535247
Eastern (KY),1145219,1018704,1150507,3314430
Western (KY),1438801,1295467,1486549,4220817
Louisiana,24271,21481,25514,71266
Maryland,116793,104497,126501,347791
Mississippi,282537,251138,303981,837656
Missouri,6563,5876,7059,19498
Montana,2502305,2233647,2491452,7227404
New Mexico,1098882,975828,1041422,3116132
North Dakota,2295598,2049984,2364837,6710419
Ohio,228884,205942,226691,661517
Oklahoma,114,102,125,341
Pennsylvania Total,3270245,2952796,3511717,9734758
Anthracite (PA),245817,219943,246449,712209
Bituminous (PA),3024428,2732853,3265268,9022549
Tennessee,165,146,169,480
Texas,1471210,1317398,1473528,4262136
Utah,943483,852728,908456,2704667
Virginia,897481,808902,942370,2648753
West Virginia Total,7417432,6670308,7684958,21772698
Northern (WV),4184342,3758270,4317376,12259988
Southern (WV),3233090,2912038,3367582,9512710
Wyoming,21213747,18966884,21226539,61407170
Appalachian Total,13936128,12542611,14639970,41118709
Interior Total,8571206,7732361,9174024,25477591
Western Total,29347688,26222991,29297276,84867955
East of Mississippi River,21005176,18930115,22307768,62243059
West of Mississippi River,30849846,27567848,30803502,89221196
Bituminous and Lignite,51609205,46278020,52864821,150752046
Anthracite,245817,219943,246449,712209
US Total,51855022,46497963,53111270,151464255
