state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,251476.0,393972.0,393486.0,393099.0,390690.0,389095.0,401598.0,388019.0,406546.0,390668.0,392674.0,399038.0,405306.0,381228.0,388471.0,388567.0,393185.0,400833.0,406648.0,389891.0,406841.0,368152.0,376027.0,372340.0,366172.0,394648.0,310788.0,348008.0,371443.0,377737.0,385594.0,381634.0,392546.0,387559.0,382752.0,362605.0,385369.0,372560.0,378824.0,385738.0,412363.0,401017.0,410929.0,396959.0,403131.0,398551.0,404346.0,374426.0,396680.0,405734.0,370650.0,315736.0,235453.0
Alaska,14167.0,24906.0,24876.0,24851.0,24699.0,24598.0,25388.0,24530.0,25701.0,24697.0,24824.0,25227.0,25623.0,26785.0,27294.0,27301.0,27625.0,28162.0,28571.0,27394.0,28585.0,25866.0,26420.0,26730.0,26287.0,28332.0,22311.0,24983.0,26666.0,27118.0,27682.0,27398.0,28181.0,27823.0,27478.0,26031.0,27666.0,26746.0,27196.0,27692.0,27261.0,26510.0,27166.0,26242.0,26650.0,26347.0,26731.0,24753.0,26224.0,26822.0,24503.0,20873.0,18729.0
Arizona,95606.0,122652.0,122501.0,122380.0,121630.0,121134.0,125026.0,120799.0,126567.0,121623.0,122248.0,124229.0,126181.0,113905.0,116069.0,116098.0,117478.0,119763.0,121500.0,116493.0,121558.0,109998.0,112351.0,151893.0,149376.0,160993.0,126783.0,141967.0,151527.0,154095.0,157300.0,155684.0,160136.0,158101.0,156140.0,147922.0,157208.0,151982.0,154538.0,157358.0,160465.0,156050.0,159907.0,154471.0,156873.0,155090.0,157345.0,145703.0,154363.0,157886.0,144233.0,122864.0,96807.0
Arkansas,1408.0,2060.0,2058.0,2056.0,2043.0,2035.0,2100.0,2029.0,2126.0,2043.0,2054.0,2087.0,2120.0,1628.0,1659.0,1660.0,1679.0,1712.0,1737.0,1665.0,1738.0,1572.0,1606.0,1108.0,1090.0,1175.0,925.0,1036.0,1106.0,1124.0,1148.0,1136.0,1168.0,1154.0,1139.0,1079.0,1147.0,1109.0,1128.0,1148.0,1120.0,1089.0,1116.0,1078.0,1095.0,1082.0,1098.0,1017.0,1077.0,1102.0,1007.0,858.0,618.0
Colorado,447145.0,715105.0,714223.0,713520.0,709147.0,706253.0,728946.0,704298.0,737927.0,709107.0,712748.0,724301.0,735677.0,717028.0,730650.0,730830.0,739515.0,753900.0,764838.0,733320.0,765202.0,692433.0,707245.0,781672.0,768723.0,828504.0,652453.0,730590.0,779789.0,793003.0,809497.0,801184.0,824092.0,813622.0,803531.0,761236.0,809025.0,782134.0,795284.0,809800.0,711204.0,691636.0,708731.0,684636.0,695282.0,687382.0,697377.0,645774.0,684156.0,699772.0,639262.0,544552.0,395870.0
Illinois,412486.0,687482.0,686634.0,685958.0,681753.0,678972.0,700788.0,677092.0,709422.0,681715.0,685215.0,696322.0,707259.0,647795.0,660102.0,660265.0,668111.0,681107.0,690989.0,662514.0,691317.0,625575.0,638957.0,576230.0,566685.0,610753.0,480973.0,538574.0,574842.0,584583.0,596742.0,590614.0,607501.0,599783.0,592344.0,561165.0,596394.0,576570.0,586264.0,596966.0,617913.0,600912.0,615765.0,594830.0,604079.0,597215.0,605899.0,561066.0,594413.0,607980.0,555408.0,473121.0,381769.0
Indiana,473969.0,722419.0,721527.0,720817.0,716399.0,713476.0,736401.0,711501.0,745474.0,716359.0,720037.0,731708.0,743201.0,692398.0,705553.0,705727.0,714113.0,728004.0,738567.0,708131.0,738918.0,668648.0,682952.0,676391.0,665186.0,716915.0,564576.0,632189.0,674761.0,686196.0,700468.0,693275.0,713098.0,704037.0,695306.0,658708.0,700060.0,676791.0,688170.0,700731.0,745089.0,724589.0,742498.0,717256.0,728408.0,720132.0,730603.0,676542.0,716753.0,733112.0,669720.0,570497.0,431478.0
Kansas,6082.0,9872.0,9860.0,9850.0,9790.0,9750.0,10063.0,9723.0,10187.0,9789.0,9839.0,9999.0,10156.0,10457.0,10656.0,10658.0,10785.0,10995.0,11154.0,10695.0,11160.0,10098.0,10315.0,5918.0,5820.0,6272.0,4940.0,5531.0,5904.0,6004.0,6129.0,6066.0,6239.0,6160.0,6083.0,5763.0,6125.0,5921.0,6021.0,6131.0,5957.0,5793.0,5937.0,5735.0,5824.0,5758.0,5841.0,5409.0,5731.0,5862.0,5355.0,4561.0,3294.0
Kentucky Total,1500310.0,2317509.0,2314650.0,2312373.0,2298198.0,2288821.0,2362364.0,2282485.0,2391470.0,2298068.0,2309869.0,2347310.0,2384179.0,2319843.0,2363916.0,2364500.0,2392598.0,2439138.0,2474528.0,2372554.0,2475703.0,2240270.0,2288192.0,2294702.0,2256689.0,2432183.0,1915363.0,2144745.0,2289174.0,2327967.0,2376387.0,2351983.0,2419233.0,2388495.0,2358873.0,2234711.0,2375001.0,2296058.0,2334662.0,2377277.0,2287549.0,2224609.0,2279595.0,2202095.0,2236334.0,2210925.0,2243073.0,2077096.0,2200551.0,2250776.0,2056151.0,1751521.0,1409408.0
Eastern,1109914.0,1692021.0,1689934.0,1688271.0,1677922.0,1671076.0,1724770.0,1666450.0,1746020.0,1677827.0,1686443.0,1713779.0,1740697.0,1686656.0,1718700.0,1719124.0,1739553.0,1773390.0,1799121.0,1724980.0,1799975.0,1628802.0,1663644.0,1732125.0,1703432.0,1835901.0,1445786.0,1618932.0,1727953.0,1757235.0,1793784.0,1775363.0,1826126.0,1802924.0,1780564.0,1686842.0,1792738.0,1733149.0,1762289.0,1794456.0,1706285.0,1659338.0,1700352.0,1642545.0,1668084.0,1649131.0,1673110.0,1549308.0,1641393.0,1678856.0,1533685.0,1306461.0,1063085.0
