State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,260661,284324,276605,269290,276002,254494,248049,252839,243095,225540,216047,214477,234372,213887,198622,187606,175151,174018,180541,166713,178169,174624,172667,185445,198335,180771,170304,171875,184727,194366,197706,194995,198063,214444,206795,214539,205020,212078,205739,202995,226613,209285,196817,213476,205880,206701,229707,208653,232505,242283,225981,190208
Alaska,20338,21510,21363,20422,20879,19658,18813,19125,18777,16578,15847,16060,17229,15781,14159,12959,12985,12405,12469,12362,12704,12527,13306,13749,14246,13928,13145,14264,14854,15531,16407,15678,15823,17795,16620,16728,16602,16635,16034,18013,19172,18776,19529,18066,18475,20528,19449,18719,23917,21234,20991,17084
Colorado,212519,230666,222216,206174,223985,204487,189921,205194,195345,171008,173660,170682,177718,167596,151645,143824,134497,132851,138415,128009,136031,143048,141704,151289,162464,148364,151831,157049,173864,177696,180651,183521,181069,195956,194626,191334,182741,194694,183467,182351,192021,186239,178676,180895,183216,187640,194644,185691,202770,197241,193202,152588
Illinois,860841,897828,898661,884491,871381,826764,814690,798215,789740,718320,661008,675362,746456,661538,608140,563238,546371,532802,542049,520035,545547,516860,531091,559787,587054,555999,516545,529983,551389,589936,610933,582019,601185,662696,617290,609179,592766,592242,584217,570278,591454,564972,531097,557154,555809,557748,599528,563277,605052,609816,588364,470668
Indiana,597549,637451,623986,595450,618842,574143,548484,566902,548446,484642,470866,470262,503633,464530,414506,374608,379392,363165,360530,361108,371853,343699,368706,381464,390382,386000,352120,361580,390361,404795,414979,412039,412512,450164,437001,414222,399001,415440,397224,390856,414722,396652,373455,390675,390221,392203,420389,395460,418153,420234,405968,324377
Kentucky Total,662235,706502,690285,664069,685864,635120,611689,628297,606680,550912,531805,530156,572502,530689,477018,432128,437301,417936,415893,416219,427938,401171,429960,444169,455653,450126,412969,415260,459502,473898,477668,485022,482932,518195,514405,468383,443496,472326,449163,441030,459114,446043,430146,432482,438822,451743,465398,444710,493252,476371,467495,369248
Eastern (KY),243846,257666,253501,243082,250139,233233,223913,229131,222798,199670,192039,192771,207508,190288,169308,151636,155962,148334,145943,148441,151891,139288,151746,155986,158215,158855,145652,142168,160458,165113,163542,169358,168252,177424,179647,166200,154669,167964,159382,149052,153408,148667,139169,144502,146264,146149,155507,148220,157845,157468,154156,120383
Western (KY),418389,448836,436784,420987,435725,401887,387776,399166,383882,351242,339766,337385,364994,340401,307710,280492,281339,269602,269950,267778,276047,261883,278214,288183,297438,291271,267317,273092,299044,308785,314126,315664,314680,340771,334758,302183,288827,304362,289781,291978,305706,297376,290977,287980,292558,305594,309891,296490,335407,318903,313339,248865
Louisiana,19512,18439,19298,20885,17883,17750,19236,16378,16955,18588,14882,15900,19312,18602,19112,19435,17718,16749,18703,16862,17149,22590,21816,22284,25659,22840,21996,22611,26825,26575,26008,28317,27079,28214,30027,25728,23650,27008,24667,25016,25329,25737,26370,23858,25318,27696,25686,25678,23070,20054,20581,15710
Maryland,29015,31157,30410,29689,30245,27985,27346,27701,26720,25987,24743,24636,26993,25351,23308,21571,21318,20423,20759,20301,20906,19257,20146,20865,21864,21092,19744,21057,22518,23316,24222,23769,23755,26275,25203,23481,22921,23589,22513,22960,24582,23567,22609,23155,23186,23755,24930,23513,23980,23594,22846,18372
