State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1581261.0,1410280.0,1433524.0,1456845.0,1475696.0,1428441.0,1432390.0,1551320.0,1514901.0,1650802.0,1488671.0,1550927.0,17975058.0
Alaska,123965.0,111074.0,115345.0,117223.0,118742.0,114937.0,115255.0,124825.0,117399.0,127048.0,105637.0,79300.0,1370750.0
Arizona,1070985.0,960795.0,1003385.0,1019712.0,1032908.0,976184.0,952464.0,1056172.0,1025632.0,1121933.0,1007335.0,1047378.0,12274883.0
Arkansas,574.0,637.0,1236.0,1257.0,1274.0,1233.0,1236.0,1339.0,1900.0,3810.0,3424.0,3530.0,21450.0
Colorado,2841151.0,2536586.0,2590998.0,2633151.0,2667224.0,2520754.0,2459505.0,2727294.0,2876300.0,3035912.0,2843633.0,2914734.0,32647242.0
Illinois,2557883.0,2261741.0,2205782.0,2241667.0,2270677.0,2197960.0,2204043.0,2387033.0,2644085.0,2952772.0,2694751.0,2801194.0,29419588.0
Indiana,3099773.0,2767319.0,2825869.0,2871843.0,2909007.0,2722622.0,2625983.0,2941103.0,2970637.0,3234617.0,2961609.0,3132609.0,35062991.0
Kansas,18244.0,15740.0,13495.0,13713.0,13889.0,13447.0,13483.0,14602.0,14525.0,17882.0,16582.0,19050.0,184652.0
Kentucky Total,11006941.0,9817612.0,9983381.0,10145806.0,10277098.0,9618635.0,9277216.0,10390488.0,10324094.0,11096372.0,10019499.0,10313620.0,122270762.0
Eastern,8920273.0,7968422.0,8160206.0,8292967.0,8400280.0,7862069.0,7583001.0,8492964.0,8312800.0,8910562.0,8016836.0,8224177.0,99144557.0
Western,2086668.0,1849190.0,1823175.0,1852839.0,1876818.0,1756566.0,1694215.0,1897524.0,2011294.0,2185810.0,2002663.0,2089443.0,23126205.0
Louisiana,286912.0,355812.0,257486.0,195125.0,376408.0,327067.0,354526.0,360133.0,362914.0,352466.0,315059.0,342205.0,3886113.0
Maryland,391188.0,350528.0,364149.0,370073.0,374861.0,350843.0,338390.0,378998.0,516528.0,612186.0,507482.0,363684.0,4918910.0
Mississippi,165168.0,73752.0,68172.0,229064.0,165026.0,230369.0,155083.0,269284.0,201051.0,209729.0,222306.0,314580.0,2303584.0
Missouri,27222.0,22146.0,12376.0,12577.0,12740.0,12330.0,12365.0,13392.0,13529.0,17201.0,16452.0,20814.0,193144.0
Montana,3350951.0,2993747.0,3067532.0,3117437.0,3157779.0,2984371.0,2911855.0,3228899.0,3145196.0,3445886.0,3243264.0,3189441.0,37836358.0
New Mexico,2442803.0,2180187.0,2223367.0,2259539.0,2288779.0,2163090.0,2110531.0,2340325.0,2276065.0,2462265.0,2204250.0,2191586.0,27142787.0
North Dakota,2578899.0,2315004.0,2424463.0,2463907.0,2495787.0,2358735.0,2301419.0,2552001.0,2429813.0,2526110.0,2302615.0,2513776.0,29262529.0
Ohio,1991162.0,1785444.0,1860525.0,1890793.0,1915260.0,1853928.0,1859055.0,2013408.0,1824410.0,1908563.0,1712161.0,1670234.0,22284943.0
Oklahoma,131603.0,117457.0,119788.0,121737.0,123310.0,119363.0,119690.0,129631.0,122045.0,132422.0,118898.0,123671.0,1479615.0
Pennsylvania Total,6534966.0,5839786.0,5990552.0,6088017.0,6166795.0,5672036.0,5355546.0,5993918.0,5932999.0,6549285.0,5846411.0,5793800.0,71764111.0
Anthracite,400356.0,355236.0,352396.0,358130.0,362765.0,239871.0,116199.0,125846.0,118958.0,129848.0,120223.0,137893.0,2817721.0
Bituminous,6134610.0,5484550.0,5638156.0,5729887.0,5804030.0,5432165.0,5239347.0,5868072.0,5814041.0,6419437.0,5726188.0,5655907.0,68946390.0
Tennessee,252607.0,229335.0,252371.0,256475.0,259796.0,251476.0,252173.0,273108.0,265035.0,290255.0,257777.0,260275.0,3100683.0
Texas,4191771.0,3699708.0,3575756.0,3633930.0,3680952.0,3495668.0,3430015.0,3785001.0,3782724.0,3956823.0,3803614.0,4102830.0,45138792.0
Utah,2384927.0,2130795.0,2183755.0,2219285.0,2248001.0,2176015.0,2182035.0,2363198.0,2234768.0,2408302.0,2159467.0,2164849.0,26855397.0
Virginia,2486734.0,2243210.0,2401044.0,2440108.0,2471684.0,2313319.0,2231209.0,2498954.0,2447923.0,2590539.0,2359488.0,2446471.0,28930683.0
Washington,396533.0,344167.0,304602.0,309558.0,313564.0,296345.0,289144.0,320628.0,353668.0,387954.0,357534.0,402927.0,4076624.0
West Virginia Total,13828510.0,12299377.0,12340640.0,12541415.0,12703698.0,11889770.0,11467735.0,12843867.0,12689052.0,13739205.0,12440797.0,12661272.0,151445338.0
Northern,3096242.0,2768800.0,2849461.0,2895820.0,2933291.0,2745354.0,2647906.0,2965656.0,2903051.0,3082987.0,2739362.0,2631396.0,34259326.0
Southern,10732268.0,9530577.0,9491179.0,9645595.0,9770407.0,9144416.0,8819829.0,9878211.0,9786001.0,10656218.0,9701435.0,10029876.0,117186012.0
Wyoming,33381409.0,29056633.0,28122288.0,28714503.0,29440344.0,26834200.0,31257240.0,31026249.0,31589156.0,32829480.0,32142574.0,33588670.0,367982746.0
Appalachian Total,35986701.0,32126382.0,32803011.0,33336693.0,33768070.0,31621882.0,30519499.0,34046537.0,33503648.0,36251397.0,32629623.0,32970840.0,399564283.0
Interior Total,12565818.0,11163502.0,10903135.0,11173752.0,11430101.0,10876625.0,10610639.0,11799042.0,12124704.0,13063532.0,12155358.0,12949926.0,140816134.0
