State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1382932,1141885,1281975,3806792,1067587,1003155,958490,3029232,1120511,1210360,1145913,3476784,1191232,1079924,992687,3263843,13576651
Alaska,135396,111797,125356,372549,107845,101359,95974,305178,93876,101412,94279,289567,82563,75075,68264,225902,1193196
Arizona,676004,558180,629110,1863294,597208,561153,535176,1693537,638616,689939,651584,1980139,623176,565582,517561,1706319,7243289
Arkansas,9594,7932,8857,26383,7623,7093,6624,21340,7315,7918,7826,23059,9993,8920,8375,27288,98070
Colorado,2131046,1759593,1977352,5867991,1854891,1742909,1654387,5252187,1816983,1962890,1819407,5599280,1598808,1455816,1326915,4381539,21100997
Illinois,4941458,4080131,4614304,13635893,4554258,4279377,4089399,12923034,4927496,5323136,5042608,15293240,5332863,4802051,4467573,14602487,56454654
Indiana,3412008,2817292,3169832,9399132,2860839,2688156,2557221,8106216,2838871,3066828,2897369,8803068,2925596,2655266,2440054,8020916,34329332
Kansas,1975,1659,1911,5545,1877,1768,1681,5326,6086,6570,8018,20674,16486,14555,14120,45161,76706
Kentucky Total,6694309,5527462,6221722,18443493,5725757,5380106,5113938,16219801,5497613,5937744,5536468,16971825,5077068,4615856,4220547,13913471,65548590
Eastern (KY),3187518,2631914,2964901,8784333,2843392,2671736,2538322,8053450,2689094,2903777,2683537,8276408,2306817,2099012,1913870,6319699,31433890
Western (KY),3506791,2895548,3256821,9659160,2882365,2708370,2575616,8166351,2808519,3033967,2852931,8695417,2770251,2516844,2306677,7593772,34114700
Louisiana,60913,50293,59086,170292,156118,146686,140612,443416,331954,358668,353253,1043875,379318,342889,314311,1036518,2694101
Maryland,150361,124144,140244,414749,145293,136537,130759,412589,146894,158902,150209,456005,172719,157265,144542,474526,1757869
Mississippi,361565,298556,333447,993568,289709,272229,256962,818900,252918,273234,252425,778577,218842,200562,180979,600383,3191428
Missouri,30536,25204,28350,84090,29271,27480,26007,82758,27758,29981,27000,84739,16683,15321,13469,45473,297060
Montana,3538386,2921618,3300602,9760606,3324071,3123434,2982608,9430113,3802015,4107287,3899615,11808917,3915585,3545521,3262538,10723644,41723280
New Mexico,1872174,1545833,1740190,5158197,1667234,1566605,1483812,4717651,1482192,1601221,1484644,4568057,1292623,1186257,1069027,3547907,17991812
North Dakota,2733716,2257206,2537792,7528714,2160113,2029722,1925865,6115700,2041052,2204933,2104109,6350094,2251800,2036301,1883315,6171416,26165924
Ohio,1837172,1516939,1710788,5064899,1637792,1538921,1466551,4643264,1546223,1670394,1539680,4756297,1374684,1251305,1145725,3771714,18236174
Oklahoma,79745,65833,73830,219408,58983,55414,52773,167170,55169,59625,56057,170851,55730,50590,46376,152696,710125
Pennsylvania Total,5775453,4768789,5372597,15916839,5044446,4739963,4485910,14270319,4654590,5028106,4690745,14373441,4298489,3899888,3578797,11777174,56337773
Anthracite (PA),147095,121468,137327,405890,131752,123800,118677,374229,154941,167403,159023,481367,164173,149370,136697,450240,1711726
Bituminous (PA),5628358,4647321,5235270,15510949,4912694,4616163,4367233,13896090,4499649,4860703,4531722,13892074,4134316,3750518,3442100,11326934,54626047
Tennessee,57498,47481,53917,158896,50812,47744,45795,144351,62059,67038,65212,194309,74216,67159,61732,203107,700663
Texas,3664219,3025523,3404002,10093744,3178050,2986211,2831258,8995519,3198328,3455145,3233420,9886893,2788044,2529209,2304384,7621637,36597793
Utah,1602021,1322782,1489629,4414432,1392423,1308367,1240636,3941426,1323223,1429453,1333411,4086087,1187657,1076528,986289,3250474,15692419
Virginia,1359373,1122422,1260780,3742575,1075902,1010959,962735,3049596,1023551,1105451,1039319,3168321,1042101,947014,869642,2858757,12819249
West Virginia Total,9738454,8040997,9054504,26833955,8504291,7990957,7609554,24104802,8307320,8976022,8352642,25635984,7981529,7252290,6657578,21891397,98466138
Northern (WV),4569267,3772830,4244036,12586133,3933258,3695848,3518847,11147953,3896795,4209678,3947470,12053943,3962150,3600097,3315591,10877838,46665867
Southern (WV),5169187,4268167,4810468,14247822,4571033,4295109,4090707,12956849,4410525,4766344,4405172,13582041,4019379,3652193,3341987,11013559,51800271
Wyoming,33577405,27724674,31242967,92545046,28849434,27108058,25811033,81768525,29788524,32180389,30569675,92538588,31546821,28599411,26328378,86474610,353326769
Appalachian Total,23488761,19394571,21839706,64723038,20369515,19139972,18198116,57707603,19550242,21120050,19667257,60337549,18441787,16753857,15364573,50560217,233328407
Interior Total,16068804,13267971,14950440,44287215,14019093,13172784,12538153,39730030,14454414,15615072,14730907,44800393,14513806,13136207,12096318,39746331,168563969
Western Total,46266148,38201683,43042998,127510829,39953219,37541607,35729491,113224317,40986481,44277524,41956724,127220729,42499033,38540491,35442287,116481811,484437686
East of Mississippi River,35710583,29486098,33214110,98410791,30956686,29088104,27677314,87722104,30378046,32817215,30712590,93907851,29689339,26928580,24759856,81377775,361418521
West of Mississippi River,50113130,41378127,46619034,138110291,43385141,40766259,38788446,122939846,44613091,48195431,45642298,138450820,45765287,41501975,38143322,125410584,524911541
Bituminous and Lignite,85676618,70742757,79695817,236115192,74210075,69730563,66347083,210287721,74836196,80845243,76195865,231877304,75290453,68281185,62766481,206338119,884618336
Anthracite,147095,121468,137327,405890,131752,123800,118677,374229,154941,167403,159023,481367,164173,149370,136697,450240,1711726
US Total,85823713,70864225,79833144,236521082,74341827,69854363,66465760,210661950,74991137,81012646,76354888,232358671,75454626,68430555,62903178,206788359,886330062
