state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,2121.0,415852.0,411037.0,413513.0,421655.0,420309.0,420565.0,418092.0,418824.0,411193.0,399853.0,405820.0,418213.0,420649.0,397722.0,391563.0,393446.0,382103.0,388596.0,396810.0,397587.0,397345.0,376073.0,385199.0,383479.0,370896.0,376775.0,317984.0,367406.0,378725.0,380325.0,391023.0,390936.0,388623.0,387890.0,385179.0,367067.0,383893.0,383193.0,393186.0,380544.0,382355.0,385937.0,382039.0,387048.0,387933.0,388151.0,360456.0,394809.0,389450.0,400046.0,384133.0,342647.0
Alaska,1.0,33385.0,33722.0,33323.0,34217.0,34046.0,33543.0,34676.0,34449.0,34281.0,32826.0,33536.0,35841.0,34651.0,37490.0,36955.0,36910.0,36241.0,36450.0,37519.0,37627.0,36773.0,35144.0,36260.0,36350.0,35436.0,35691.0,31832.0,37830.0,39157.0,39331.0,40464.0,40513.0,41792.0,39996.0,41229.0,37737.0,40368.0,39688.0,40780.0,39233.0,39253.0,39868.0,40339.0,39281.0,40011.0,39756.0,35366.0,41032.0,38812.0,40635.0,38976.0,31652.0
Arizona,2.0,125188.0,126452.0,124956.0,128307.0,127667.0,125782.0,130031.0,129178.0,128549.0,123094.0,125755.0,134397.0,129935.0,133889.0,131981.0,131817.0,129429.0,130176.0,133994.0,134379.0,131330.0,125513.0,129497.0,129818.0,126555.0,127465.0,108105.0,128476.0,132980.0,133572.0,137421.0,137586.0,141931.0,135829.0,140017.0,128160.0,137095.0,134783.0,138494.0,139968.0,140041.0,142234.0,143915.0,140142.0,142744.0,141833.0,126174.0,146387.0,138465.0,144970.0,139051.0,112921.0
Arkansas,-2.0,576.0,582.0,575.0,590.0,587.0,579.0,598.0,594.0,591.0,566.0,579.0,618.0,598.0,1248.0,1230.0,1228.0,1206.0,1213.0,1249.0,1252.0,1224.0,1170.0,1207.0,1210.0,1179.0,1188.0,1410.0,1675.0,1734.0,1742.0,1792.0,1794.0,1851.0,1771.0,1826.0,1671.0,1788.0,1758.0,1806.0,2113.0,2114.0,2147.0,2172.0,2115.0,2155.0,2141.0,1905.0,2210.0,2090.0,2188.0,2099.0,1705.0
Colorado,42286.0,457765.0,363519.0,457765.0,430838.0,433514.0,390162.0,549118.0,447964.0,498554.0,455820.0,498554.0,555531.0,470065.0,447147.0,506766.0,491861.0,462052.0,341506.0,371202.0,341506.0,400898.0,401505.0,431246.0,394153.0,504515.0,457217.0,399930.0,431924.0,543905.0,495913.0,571866.0,524210.0,635406.0,667176.0,644370.0,563824.0,692697.0,676588.0,676588.0,765271.0,697247.0,680241.0,646229.0,548434.0,514157.0,514157.0,411325.0,531295.0,514157.0,531174.0,547270.0,515078.0
Illinois,24085.0,662116.0,654449.0,658391.0,671356.0,669212.0,669619.0,665683.0,666848.0,654698.0,636642.0,646143.0,665875.0,669753.0,653716.0,643594.0,646688.0,628045.0,638717.0,652218.0,653495.0,653098.0,618133.0,633133.0,630307.0,609625.0,619288.0,524110.0,605570.0,624226.0,626864.0,644496.0,644353.0,640540.0,639332.0,634863.0,605011.0,632744.0,631591.0,648060.0,640364.0,643412.0,649439.0,642879.0,651309.0,652799.0,653165.0,606562.0,664370.0,655351.0,673182.0,646403.0,576594.0
Indiana,20697.0,719848.0,711513.0,715799.0,729894.0,727563.0,728006.0,723726.0,724993.0,711784.0,692153.0,702483.0,723935.0,728152.0,718379.0,707256.0,710656.0,690169.0,701896.0,716732.0,718136.0,717700.0,679276.0,695760.0,692654.0,669926.0,680545.0,565617.0,653528.0,673662.0,676508.0,695537.0,695382.0,691268.0,689964.0,685141.0,652925.0,682854.0,681609.0,699383.0,669519.0,672706.0,679007.0,672149.0,680962.0,682520.0,682903.0,634178.0,694618.0,685188.0,703831.0,675833.0,602845.0
Kansas,0.0,3538.0,3574.0,3531.0,3626.0,3608.0,3555.0,3675.0,3651.0,3633.0,3479.0,3554.0,3798.0,3672.0,3743.0,3689.0,3685.0,3618.0,3639.0,3746.0,3756.0,3671.0,3509.0,3620.0,3629.0,3538.0,3563.0,1467.0,1743.0,1804.0,1812.0,1865.0,1867.0,1926.0,1843.0,1900.0,1739.0,1860.0,1829.0,1879.0,1607.0,1607.0,1633.0,1652.0,1609.0,1638.0,1628.0,1448.0,1680.0,1589.0,1664.0,1596.0,1296.0
Kentucky Total,49225.0,2168565.0,2143455.0,2156366.0,2198828.0,2191806.0,2193139.0,2180248.0,2184065.0,2144271.0,2085133.0,2116251.0,2180878.0,2193579.0,2081616.0,2049384.0,2059238.0,1999873.0,2033854.0,2076845.0,2080912.0,2079647.0,1968310.0,2016075.0,2007075.0,1941217.0,1971986.0,1677857.0,1938636.0,1998362.0,2006806.0,2063252.0,2062795.0,2050589.0,2046722.0,2032414.0,1936847.0,2025631.0,2021938.0,2074663.0,2008765.0,2018327.0,2037233.0,2016656.0,2043097.0,2047771.0,2048920.0,1902730.0,2084068.0,2055778.0,2111712.0,2027710.0,1808723.0
Eastern,20460.0,1411732.0,1395386.0,1403791.0,1431433.0,1426862.0,1427730.0,1419338.0,1421823.0,1395917.0,1357418.0,1377676.0,1419748.0,1428016.0,1357922.0,1336896.0,1343324.0,1304598.0,1326765.0,1354810.0,1357463.0,1356638.0,1284008.0,1315167.0,1309296.0,1266334.0,1286406.0,1056663.0,1220894.0,1258507.0,1263825.0,1299373.0,1299085.0,1291398.0,1288963.0,1279952.0,1219767.0,1275680.0,1273355.0,1306559.0,1283503.0,1289613.0,1301693.0,1288545.0,1305440.0,1308426.0,1309160.0,1215752.0,1331618.0,1313542.0,1349281.0,1295608.0,1155686.0
Western,28765.0,756833.0,748069.0,752575.0,767395.0,764944.0,765409.0,760910.0,762242.0,748354.0,727715.0,738575.0,761130.0,765563.0,723694.0,712488.0,715914.0,695275.0,707089.0,722035.0,723449.0,723009.0,684302.0,700908.0,697779.0,674883.0,685580.0,621194.0,717742.0,739855.0,742981.0,763879.0,763710.0,759191.0,757759.0,752462.0,717080.0,749951.0,748583.0,768104.0,725262.0,728714.0,735540.0,728111.0,737657.0,739345.0,739760.0,686978.0,752450.0,742236.0,762431.0,732102.0,653037.0
Louisiana,9131.0,89874.0,73327.0,76155.0,55446.0,70040.0,73072.0,111630.0,113331.0,81286.0,93426.0,59143.0,18500.0,18500.0,23240.0,71692.0,89714.0,77457.0,19499.0,70473.0,123824.0,113421.0,106874.0,102269.0,39609.0,54153.0,94219.0,76949.0,86345.0,73586.0,112172.0,79123.0,87683.0,62706.0,61717.0,85394.0,72685.0,76694.0,61354.0,79015.0,77890.0,14751.0,65556.0,76673.0,68327.0,71176.0,62419.0,39762.0,96212.0,48722.0,86417.0,63660.0,56172.0
Maryland,449.0,46005.0,45473.0,45747.0,46647.0,46498.0,46527.0,46253.0,46334.0,45490.0,44235.0,44896.0,46267.0,46536.0,40747.0,40116.0,40308.0,39146.0,39812.0,40653.0,40733.0,40708.0,38529.0,39464.0,39287.0,37998.0,38601.0,31658.0,36578.0,37705.0,37864.0,38929.0,38921.0,38690.0,38617.0,38347.0,36544.0,38219.0,38150.0,39145.0,35655.0,35825.0,36161.0,35795.0,36265.0,36348.0,36368.0,33773.0,36992.0,36490.0,37483.0,35992.0,32105.0
Mississippi,13306.0,64090.0,17940.0,65381.0,68310.0,10538.0,53430.0,66170.0,80090.0,74490.0,72538.0,40622.0,9500.0,32370.0,70330.0,65000.0,27779.0,28089.0,32240.0,76310.0,64775.0,11570.0,0.0,29250.0,44819.0,48481.0,57720.0,70620.0,79170.0,66950.0,32240.0,51145.0,9664.0,47625.0,48500.0,61625.0,56765.0,73064.0,106465.0,45625.0,66827.0,64768.0,0.0,31702.0,31764.0,72131.0,67652.0,68695.0,68216.0,115776.0,71375.0,54684.0,62000.0
Missouri,-2.0,7940.0,8020.0,7925.0,8138.0,8097.0,7978.0,8247.0,8193.0,8153.0,7807.0,7976.0,8524.0,8241.0,8310.0,8191.0,8181.0,8033.0,8079.0,8316.0,8340.0,8151.0,7790.0,8037.0,8057.0,7855.0,7911.0,6536.0,7768.0,8040.0,8076.0,8115.0,8319.0,8581.0,8213.0,8466.0,7749.0,8289.0,8149.0,8374.0,9238.0,9243.0,9388.0,9499.0,9250.0,9422.0,9361.0,8328.0,9662.0,9139.0,9568.0,9178.0,7453.0
Montana,63074.0,506167.0,759251.0,564571.0,681379.0,642443.0,778719.0,759251.0,739783.0,642443.0,817654.0,817654.0,856590.0,856590.0,817654.0,895526.0,953930.0,798186.0,622975.0,798186.0,778719.0,389359.0,700847.0,759251.0,934462.0,739783.0,837122.0,837122.0,1031802.0,992866.0,1012334.0,934462.0,914994.0,992866.0,953930.0,953930.0,895526.0,992866.0,895526.0,914994.0,895526.0,876058.0,934462.0,1031802.0,953930.0,876058.0,1012334.0,1051270.0,992866.0,895526.0,953930.0,622975.0,584039.0
