State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,303901,316035,341000,336903,319630,304488,331300,330098,343363,329139,355692,353381,362903,366230,370853,366618,365893,363164,361543,357858,364644,364229,353279,355931,364629,371330,332151,354450,375625,384498,387475,378123,394095,381098,377594,360202,377949,377704,392135,331311,344588,338447,354482,344634,346776,342767,344438,343238,362355,365856,369556,306543
Alaska,29554,29927,32294,31899,30268,28826,31379,31250,32522,31166,32046,31833,32703,30476,29930,29585,29533,29303,29177,28879,29424,29388,28500,28736,30015,30587,26492,27872,29537,30231,30472,29732,30997,29968,29687,28324,29718,29703,30840,26746,27802,27305,28601,27801,27976,27646,27788,27690,29382,29675,29982,24867
Arizona,132207,143106,154407,152556,144728,137879,150022,149472,155483,149042,162371,161313,165664,168286,170800,168851,168514,167266,166512,164815,167938,167755,162704,163929,163288,166284,141535,148104,156949,160660,161895,157997,164671,159239,157771,150504,157924,157813,163848,135280,140604,138101,144645,140621,141497,139869,140547,140049,148656,150081,151618,125760
Arkansas,1036,684,735,733,701,670,730,729,757,727,768,761,781,590,503,500,484,482,479,475,482,481,466,468,591,601,1149,1471,1554,1588,1606,1580,1644,1588,1572,1477,1544,1538,1601,2092,2428,2382,2497,2435,2454,2426,2407,2394,2541,2566,2590,2197
Colorado,398411,392539,423564,418458,397010,378209,411507,410013,426507,408822,438805,435930,447683,426199,422164,417331,416516,413402,411563,407360,415100,414612,402164,405154,414933,422549,392976,425429,450857,461498,465083,453848,473031,457415,453218,432319,453645,453328,470670,461426,486339,477673,500305,486401,489425,483774,486125,484429,514165,519122,524381,434966
Illinois,969443,1037541,1119474,1106042,1049301,999649,1087632,1083728,1127261,1080574,1099615,1092445,1121884,1105831,1110054,1097392,1095205,1087045,1082177,1071159,1091471,1090249,1057454,1065389,1049021,1068294,908898,950980,1007790,1031605,1039592,1014499,1057365,1022472,1013061,966394,1014026,1013356,1052094,959059,1012774,994741,1041853,1012926,1019203,1007434,1012337,1008813,1070745,1081066,1092016,905819
Indiana,684535,721593,778576,769235,729777,695241,756442,753720,783993,751522,801412,796205,817650,825572,836105,826575,824921,818787,815107,806817,822107,821193,796485,802468,802472,817229,738958,791811,839103,858939,865580,844694,880379,851338,843496,804649,844297,843754,875992,761688,798317,784109,821243,798439,803389,794113,797965,795202,844016,852151,860786,714012
Kansas,412,431,472,466,442,424,463,461,477,461,459,454,467,512,525,514,511,506,503,496,504,504,489,491,510,522,521,570,609,623,628,611,638,619,613,601,630,631,655,523,543,525,550,532,537,529,530,529,561,566,570,485
Kentucky Total,1367476,1424232,1536762,1518273,1440436,1372225,1493050,1487636,1547448,1483305,1599179,1588738,1631565,1586856,1584898,1566786,1563702,1552022,1545089,1529334,1558348,1556590,1509803,1521097,1529842,1557914,1349304,1421908,1506860,1542456,1554420,1516875,1580995,1528814,1514752,1444958,1516204,1515168,1573107,1399479,1458313,1432319,1500187,1458507,1467570,1450597,1457686,1452586,1542161,1557012,1572803,1304604
Eastern (KY),639799,662745,715125,706510,670302,638549,694787,692253,720096,690233,764177,759178,779654,758064,757056,748396,746934,741344,738045,730506,744377,743533,721190,726575,733668,747131,639810,671180,711286,728079,733734,716010,746283,721641,715012,682058,715696,715199,742561,663729,683471,671285,703097,683561,687812,679852,683181,680782,722972,729942,737347,611604
Western (KY),727677,761487,821637,811763,770134,733676,798263,795383,827352,793072,835002,829560,851911,828792,827842,818390,816768,810678,807044,798828,813971,813057,788613,794522,796174,810783,709494,750728,795574,814377,820686,800865,834712,807173,799740,762900,800508,799969,830546,735750,774842,761034,797090,774946,779758,770745,774505,771804,819189,827070,835456,693000
Louisiana,58297,57167,61683,60941,57820,55079,59925,59711,62113,59537,55311,54938,56421,51756,50503,49925,49826,49450,49236,48727,49659,49593,48108,48455,48324,49219,40570,41899,44408,45448,45805,44696,46593,45050,44642,42577,44676,44649,46351,31642,25471,25011,26204,25473,25626,25345,25457,25379,27732,28000,28295,23462
Maryland,36271,37132,40064,39583,37554,35780,38928,38787,40346,38672,37339,37091,38099,36869,36755,36327,36265,35990,35829,35456,36132,36090,35006,35263,34205,34853,28085,28694,30412,31131,31372,30612,31907,30847,30575,29155,30604,30577,31745,28432,28436,27927,29255,28439,28614,28277,28431,28316,30075,30339,30659,25439
Mississippi,61483,63536,68550,67729,64254,61219,66601,66362,69027,66169,72535,72072,74019,78752,81233,80311,80147,79555,79194,78395,79873,79781,77385,77967,78218,79650,78922,87324,92531,94726,95448,93152,97083,93881,93021,88737,93107,93052,96600,86402,91024,89411,93633,91044,91595,90545,90984,90672,96239,97155,98144,81413
Missouri,6710,6997,7550,7462,7078,6744,7329,7317,7603,7279,8085,8034,8256,8060,8056,7962,7945,7885,7865,7772,7931,7900,7676,7745,7218,7307,6558,7020,7437,7611,7676,7482,7803,7561,7484,7137,7480,7491,7772,7204,7448,7318,7666,7450,7500,7395,7436,7416,7880,7962,8052,6676
Montana,763167,798586,861637,851312,807626,769427,837131,834126,867634,831699,891071,885284,909117,935466,953838,942988,941084,934099,929888,920432,937867,936846,908647,915472,858541,874328,813028,880188,932756,954805,962183,938977,978639,946362,937640,894456,938537,937915,973757,830035,858149,842876,882792,858279,863598,853630,857775,854797,907268,916019,925289,767525
New Mexico,421303,435331,469709,464072,440266,419435,456343,454709,472978,453388,440090,437217,449006,455432,462026,456746,455845,452441,450427,445826,454287,453770,440134,443425,434821,442791,374275,390552,413895,423666,426958,416644,434256,419920,416054,396888,416449,416167,432094,373394,377753,371022,388600,377802,380153,375751,377590,376274,399380,403225,407313,337850
