State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,175629,143407,192435,195379,174007,181919,202674,182478,180798,198769,163898,178245,193443,155899,148949,134851,124466,142732,135961,137706,146263,137301,143564,151053,144719,135693,141111,118281,129027,134916,138605,129344,138954,137459,145714,162764,147593,159148,157861,153896,160411,153995,154063,171191,156659,150637,160151,141478,174288,197511,159530,138417,134956
Alaska,20818,19474,23260,21331,23706,22013,22130,24871,21883,20873,21461,20737,20304,20159,18059,16185,15462,17305,16622,17089,17964,16777,17588,18340,17505,16649,17393,15742,16475,17244,18131,16385,17568,17987,18455,18701,17571,18338,18142,18492,18958,18869,19695,20213,19187,19262,18920,17313,20122,21044,17634,14793,15604
Colorado,191611,176360,219682,215250,214352,207798,223305,224837,206532,233369,215105,216946,227095,215785,231324,231359,198777,221677,237578,219614,230154,239955,236073,245126,260755,223170,246733,254623,281544,283541,293156,280139,288869,290969,315548,314450,290268,320319,304938,301197,301367,298810,292280,321617,303950,285805,300849,274525,275769,309337,258084,211101,207468
Illinois,734699,743118,926445,939093,902740,876145,974107,946832,870738,886639,788200,796090,862812,755633,756003,711931,617115,724561,726750,678944,748489,733997,646630,706286,706752,611201,654077,518435,578020,605124,596946,575286,616529,592135,648068,681375,599892,667974,660769,625749,632038,616965,627523,674356,627555,613556,630831,566752,653934,716442,588574,501857,505884
Indiana,326060,302738,369427,355872,368203,349481,369202,386200,347371,378443,362429,357892,368277,354420,352992,332336,305909,338257,341286,337969,351208,344678,363707,374450,374958,343786,362145,331404,371098,378083,381572,369216,385202,378687,415918,439841,396244,442809,426536,416662,413002,419752,438174,440422,426863,428415,411958,385510,454764,466003,398727,324107,349065
Kentucky Total,486084,455600,559407,548806,553884,529164,569334,580978,525938,575588,537315,534121,560129,529865,530570,487431,467545,508423,495083,510258,521611,500021,511885,518347,507142,483845,499160,458061,496740,515331,527421,494517,525274,523431,557054,577427,527262,571000,559972,553746,552021,555080,578428,588735,564516,565550,550705,509817,583559,605439,512534,422957,449923
Eastern (KY),180498,173303,214203,216952,210559,202582,225051,220849,201336,234054,210260,210460,227759,212244,223353,207509,198496,214033,207625,213003,215950,209701,219878,220879,218835,207847,215160,204739,220332,228739,235729,219539,233289,233964,247296,251954,231538,249040,244335,243206,243919,244553,254168,260161,248704,248522,243349,224612,250694,261585,220774,182782,193311
Western (KY),305586,282297,345204,331854,343325,326582,344283,360129,324602,341534,327055,323661,332370,317621,307217,279922,269049,294390,287458,297255,305661,290320,292007,297468,288307,275998,284000,253322,276408,286592,291692,274978,291985,289467,309758,325473,295724,321960,315637,310540,308102,310527,324260,328574,315812,317028,307356,285205,332865,343854,291760,240175,256612
Louisiana,4029,3496,4494,4288,4254,4253,4445,4456,4215,4935,4521,4697,4785,4508,5014,5385,4202,4800,5522,4625,4995,5597,5639,6035,6892,5359,6109,5948,7515,7180,6849,7482,7316,6797,8424,7478,6366,8034,7256,6538,6055,6258,5953,6460,6369,5820,6039,5755,5762,6365,5530,4179,4152
Maryland,23376,22566,26844,25434,27459,25404,26389,28805,25239,27248,27232,26197,26525,26427,26373,25480,22329,25278,24202,23497,24837,24445,24157,25295,25388,22814,24247,21225,24595,24720,24437,24477,25181,24250,27561,26848,23689,27407,26035,24814,24070,24670,25487,25671,25087,24922,24010,22662,25659,26335,22732,18152,19514
Mississippi,51382,51976,60739,62628,63187,57443,64962,66283,57091,64583,60321,57050,62851,61279,66483,62263,58203,63704,63936,64303,66138,64565,66208,67491,67211,62588,64397,54180,64426,64932,62378,64108,66160,61896,72223,75377,64613,76714,73090,67187,62532,64526,66047,66684,65618,64574,62382,59259,60800,62586,54366,42767,45869
