State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20
Alabama,187007,203595,197560,200014,170794,198623,194726,188377,239348,216710,227068,224077,222929,220089,221152,240112,225985,218441,221263,221432
Alaska,17125,20239,19600,18315,16981,19707,17831,18725,22313,18646,21211,20887,18948,16660,17382,18882,17105,17173,17397,16756
Colorado,271616,272812,280205,290511,228850,281719,282822,252415,282729,262154,253386,264673,268349,260258,257455,280685,267279,254287,258668,261875
Illinois,692124,807587,750132,740254,677482,754171,720689,747225,874349,771554,866585,818529,802434,769443,814709,919347,789458,804482,847150,773437
Indiana,457759,480123,476428,489601,402757,479006,476647,444237,536102,492680,497322,501892,506797,495793,497955,545914,509054,491823,503066,498772
Kentucky Total,561525,607755,600026,600585,509831,603263,584693,562318,638562,571432,595459,597796,583141,551186,555801,598592,566015,548980,551630,554568
Eastern (KY),252716,264868,264015,270302,222189,265449,263146,245069,276592,253251,255428,258937,258740,249648,248995,267593,256391,245950,246598,251207
Western (KY),308809,342887,336011,330283,287642,337814,321547,317249,361970,318181,340031,338859,324401,301538,306806,330999,309624,303030,305032,303361
Louisiana,5523,5386,5559,5905,4515,5585,5748,4977,6080,5779,5424,5693,5954,5913,5812,6355,6071,5745,5855,5944
Maryland,25995,26813,26734,27804,22495,26879,27068,24807,30219,28104,27895,28290,28853,28430,28315,30733,29195,27964,28316,28596
Mississippi,63943,63663,64114,68386,53401,64458,66574,58899,71998,68678,65812,67404,70712,71287,70388,76623,73212,69527,70606,71732
Missouri,1448,1557,1457,1552,1310,1465,1512,1444,1653,1573,1624,1544,1585,1638,1626,1665,1676,1596,1552,1665
Montana,545173,584940,583012,583086,490703,586153,567670,541216,604752,540868,558521,566129,552636,521289,525673,571410,535279,519194,526595,524446
New Mexico,239537,255519,257597,256204,214343,258996,249416,236418,254002,225915,231939,237789,229880,216599,215694,231815,222444,213050,213636,217963
North Dakota,506143,527979,534108,541342,442923,536987,527031,488518,572749,519224,521085,536179,527569,498799,494675,526838,512344,488634,485528,501987
Ohio,48533,55049,54000,51906,46181,54287,50536,50937,55701,47881,52278,52145,48266,43043,43687,45605,44214,43153,42030,43318
Oklahoma,25,30,24,24,24,25,25,28,29,27,32,26,32,60,61,76,64,64,73,66
Pennsylvania Total,705994,774268,762100,755077,649541,766190,735130,716394,853214,755965,798015,798728,766918,711178,716613,758149,730430,707848,698713,715667
Anthracite (PA),53266,57861,57329,56975,48538,57640,55464,53535,59893,53230,55647,56073,54317,49774,51055,55768,51097,50426,51396,50071
Bituminous (PA),652728,716407,704771,698102,601003,708550,679666,662859,793321,702735,742368,742655,712601,661404,665558,702381,679333,657422,647317,665596
Tennessee,37,38,38,38,32,39,37,35,39,36,37,37,42,36,39,40,37,35,38,35
Texas,318553,344570,345979,340703,289054,347837,331693,318807,360505,317476,330548,337481,323865,299372,303241,331503,307380,299493,305502,301153
Utah,194890,233514,224365,208436,195896,225562,202928,216056,225150,187038,215723,210761,190913,168536,177667,195992,172977,175436,180614,169459
Virginia,193374,212454,209976,206822,178229,211105,201359,196579,229721,202344,213968,215049,207964,195361,200111,222747,200532,197621,205269,196471
West Virginia Total,1598474,1764462,1723168,1709650,1480181,1732454,1664431,1632566,1862757,1652759,1755963,1743834,1695090,1591294,1632668,1793475,1633576,1612450,1652727,1600482
Northern (WV),904945,988290,975017,967882,829060,980272,942281,914411,1048703,930986,978491,981752,952584,896760,910663,993656,920727,899424,915691,902088
Southern (WV),693529,776172,748151,741768,651121,752182,722150,718155,814054,721773,777472,762082,742506,694534,722005,799819,712849,713026,737036,698394
Wyoming,4608665,4964555,4962167,4929178,4164719,4988895,4798844,4593465,5167006,4591839,4766703,4837047,4684374,4407428,4430988,4797331,4525965,4376457,4421033,4434355
Appalachian Total,3012130,3301547,3237591,3221613,2769642,3255026,3136433,3054764,3547591,3157050,3330652,3321097,3228802,3039079,3091580,3358454,3120360,3053462,3094954,3057208
Interior Total,1848184,2045803,1979704,1976708,1716185,1990361,1924435,1892866,2212686,1975948,2107378,2071428,2035780,1945044,2000598,2212482,1996539,1975760,2038836,1956130
Western Total,6383149,6859558,6861054,6827072,5754415,6898019,6646542,6346813,7128701,6345684,6568568,6673465,6472669,6089569,6119534,6622953,6253393,6044231,6103471,6126841
East of Mississippi River,4534765,4995807,4864276,4850137,4190924,4890475,4721890,4622374,5392010,4808143,5100402,5047781,4933146,4677140,4781438,5231337,4801708,4722324,4820808,4704510
West of Mississippi River,6708698,7211101,7214073,7175256,6049318,7252931,6985520,6672069,7496968,6670539,6906196,7018209,6804105,6396552,6430274,6962552,6568584,6351129,6416453,6435669
Bituminous and Lignite,11190197,12149047,12021020,11968418,10191704,12085766,11651946,11240908,12829085,11425452,11950951,12009917,11682934,11023918,11160657,12138121,11319195,11023027,11185865,11090108
Anthracite,53266,57861,57329,56975,48538,57640,55464,53535,59893,53230,55647,56073,54317,49774,51055,55768,51097,50426,51396,50071
US Total,11243463,12206908,12078349,12025393,10240242,12143406,11707410,11294443,12888978,11478682,12006598,12065990,11737251,11073692,11211712,12193889,11370292,11073453,11237261,11140179
